,Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Guba district ,1051,1053,1203,1247,1259,1310,1273,1298,1312,1306,1114,1047,1060,1107,1150,1158,1084,1135,1200,1205,1219.6,1231,1229,1297
,Gusar district ,1920,2103,2126,2076,2229,2338,2351,2360,2186,2093,2181,2177,2342,1988,1989,1990,2246,2176,2343,2346,2357,2194,2174,2077
,Siyazan district ,21,29,29,34,34,37,40,33,29,22,23,23,23,22,25,27,38,26,39,28,24,25,22,21
,Shabran district ,65,95,96,114,117,120,128,124,125,132,133,136,145,122,119,119,118,137,138,113,113,111.5,112,113
,Lankaran-Astara economic region ,5973,6146,6770,6779,9234,9449,9682,9492,11064,10728,11281,11493,11669,10505,9648,9324,9968,9240,9907,9667,10038.4,10087.1,10209.2,10130.5
,Astara district ,857,806,1119,1131,1586,1649,1688,1349,1300,1283,1293,1309,1378,1380,1381,1351,1362,1254,1168,1099,1034,970.8,956.7,929.5
,Jalilabad district ,2305,2408,2459,2480,4051,4055,4114,4155,4975,4913,5032,5085,5176,4962,4100,3900,4653,4200,5000,5000,5320,5400,5450,5500
,Lerik district ,1017,1196,1197,1201,1249,1273,1321,1091,1164,1188,1218,1219,1229,1265,1291,1297,1463,1377,1369,1422,1446,1505,1537,1538
,Lankaran district ,583,746,798,789,801,807,812,874,981,886,819,820,768,602,574,576,592,579,442,426,466,430,438,448
,Masalli district ,751,556,694,787,1014,1041,1119,1370,1877,1666,2118,2250,2276,1477,1460,1282,1044,940,1060,844,880.5,893.6,900,903
,Yardimli district ,460,434,503,391,533,624,628,653,767,792,801,810,842,819,842,918,854,890,868,876,891.9,887.7,927.5,812
,Central Aran economic region ,2261,1935,2542,2317,2772,3028,3112,3238,3238,3392,3458,3693,3528,3366,2729,2807,2481,2313,2238,1996,1923.5,1933.2,1851.4,1772.3
,Mingachevir city,-,7,17,5,5,7,6,6,5,7,6,5,5,5,7,7,5,5,6,6,6.2,6,5.3,5
,Agdash district ,233,247,471,485,494,566,581,652,674,705,1116,1183,1186,1204,595,670,240,208,222,202,214,215,198.6,324.1
,Goychay district ,79,85,90,101,103,118,122,123,124,128,135,142,146,149,151,155,157,156,165,156,153.8,151,192,191
,Kurdamir district ,1603,1194,1455,1106,1173,1211,1213,1214,1329,1397,1021,1235,1333,1262,1184,1214,1217,1119,910,915,895,897,784,573.1
,Ujar district ,169,179,234,278,316,345,380,382,386,396,405,409,396,401,410,413,422,404,410,411,315,320,324,326
,Yevlakh district ,70,73,112,162,436,480,485,520,560,570,580,586,310,210,240,232,245,221,324,101,133.5,134.4,137.5,142.3
,Zardab district ,107,150,163,180,245,301,325,341,160,189,195,133,152,135,142,116,195,200,201,205,206,209.8,210,210.8
,Mil-Mughan economic region ,1874,1735,2158,2695,2813,3023,2917,2974,2940,2847,2160,2763,2728,2589,2397,2440,2388,2332,2314,2232,2187.2,2249.5,2274.6,2275.1
,Beylagan district ,165,224,305,307,322,325,336,353,356,359,308,315,328,332,378,382,384,380,382,385,390,391,394,397
,Imishli district ,551,552,592,598,611,630,640,660,683,592,450,460,455,345,292,270,232,237,209,177,114.2,117.4,122.6,111.1
,Saatli district ,604,693,817,1054,1017,1003,740,696,589,605,460,582,574,540,436,461,445,377,383,308,309,348.1,362,364
,Sabirabad district ,554,266,444,736,863,1065,1201,1265,1312,1291,942,1406,1371,1372,1291,1327,1327,1338,1340,1362,1374,1393,1396,1403
,Shaki-Zagatala economic region ,2497,2991,3582,3806,4378,4485,4621,4840,5022,4936,4915,4929,4852,4920,5006,4929,4977,4186,4151,4008,3900,3921,4027.3,3916.5
,Balakan district ,522,566,633,643,674,673,702,684,730,775,777,798,857,889,905,887,905,568,580,597,607,615,618,627
,Gakh district ,250,275,282,301,438,416,448,578,615,510,516,448,327,307,323,290,389,364,330,321,322,319,302.3,303
,Gabala district ,527,663,710,815,908,971,987,1017,1035,1048,1060,1068,1074,1085,1157,1159,1054,613,632,520,408,393,456,415
,Oghuz district ,124,181,226,241,348,353,359,370,351,342,314,317,312,319,323,324,328,321,297,288,293,298,351,290
,Shaki district  ,314,336,493,561,640,731,780,844,938,830,817,851,816,799,763,729,760,773,753,715,686,701,696,646.5
,Zagatala district ,760,970,1238,1245,1370,1341,1345,1347,1353,1431,1431,1447,1466,1521,1535,1540,1541,1547,1559,1567,1584,1595,1604,1635
,Eastern Zangazur economic,20,1,-,-,-,-,-,-,1.4,22.3,29,25,29,25.2,26.3,27.3,28.3,30,36,35,36.6,36,36.7,134.8
,Jabrayil district ,-,-,-,-,-,-,-,-,-,22,25,25,25,25,26,27,28,29,30,31,31.6,32,32.7,33
,Kalbajar district ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,23
,Gubadli district ,20,1,-,-,-,-,-,-,0.4,0.3,1,-,-,0.2,0.3,0.3,0.3,-,-,-,-,-,-,75
,Lachin district ,-,-,-,-,-,-,-,-,-,-,3,-,4,-,-,-,-,1,1,-,1,-,-,-
,Zangilan district ,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,4,4,4,4,3.8
,Shirvan-Salyan economic region ,493,540,557,591,694,656,659,739,739,792,726,877,846,872,843,740,703,689,800,710,703.6,714.7,806.7,836.2
,Shirvan city,-,-,-,-,-,-,-,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2
,Bilasuvar district ,198,246,251,279,303,300,303,341,340,284,179,292,240,225,272,161,121,125,208,132,90.2,112,128.7,132.6
,Hajigabul district ,-,-,-,-,-,-,-,-,-,-,-,25,28,38,38,39,40,42,45,46,40,40,84,33
,Neftchala district  ,106,97,108,102,143,97,88,88,78,83,90,106,111,112,113,114,114,145,122,114,140.4,146.7,147,146.6
,Salyan district ,189,197,198,210,248,259,268,308,319,420,452,449,462,492,415,421,423,372,420,413,428,411,445,522
