Setting,year,potato_area,first5_sum,last5_sum,growth,std_dev,cagr
Shaki district,2005,731.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2005,1341.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2005,,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2005,,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2005,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2005,,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2005,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2005,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2005,656.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2005,,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2005,300.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2005,,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2005,97.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2005,259.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2006,66847.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2006,40.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2006,2461.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2006,17.0,0.0,148.0,148.0,7.338957290899509,
Babak district,2006,260.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2006,450.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2006,161.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2006,535.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2006,25.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2006,300.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2006,713.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2006,101.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2006,26.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2006,5.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2006,70.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2006,1897.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2006,61.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2006,760.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2006,459.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2006,617.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2006,2976.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2006,16.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2006,,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2006,1399.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2006,411.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2006,903.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2006,247.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2006,1954.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2006,,0.0,0.0,0.0,,
Aghjabadi district,2006,305.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2006,520.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2006,,0.0,0.0,0.0,,
Barda district,2006,361.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2006,110.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2006,153.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2006,1.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2006,30.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2006,474.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2006,31103.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2006,430.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2006,13016.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2006,357.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2006,6035.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2006,11265.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2006,5324.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2006,1532.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2006,1273.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2006,2351.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2006,40.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2006,128.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2006,9682.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2006,1688.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2006,4114.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2006,1321.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2006,812.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2006,1119.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2006,628.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2006,3112.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2006,6.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2006,581.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2006,122.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2006,1213.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2006,380.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2006,485.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2006,325.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2006,2917.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2006,336.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2006,640.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2006,740.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2006,1201.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2006,4621.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2006,702.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2006,448.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2006,987.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2006,359.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2006,780.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2006,1345.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2006,,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2006,,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2006,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2006,,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2006,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2006,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2006,659.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2006,,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2006,303.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2006,,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2006,88.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2006,268.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2007,67111.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2007,19.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2007,2495.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2007,19.0,0.0,148.0,148.0,7.338957290899509,
Babak district,2007,265.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2007,452.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2007,165.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2007,536.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2007,32.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2007,310.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2007,716.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2007,77.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2007,4.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2007,4.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2007,69.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2007,1903.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2007,66.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2007,758.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2007,461.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2007,618.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2007,3039.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2007,17.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2007,,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2007,1363.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2007,428.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2007,944.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2007,287.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2007,2085.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2007,,0.0,0.0,0.0,,
Aghjabadi district,2007,324.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2007,560.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2007,,0.0,0.0,0.0,,
Barda district,2007,374.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2007,110.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2007,158.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2007,2.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2007,5.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2007,552.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2007,30776.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2007,438.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2007,13016.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2007,272.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2007,6093.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2007,10957.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2007,5434.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2007,1619.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2007,1298.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2007,2360.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2007,33.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2007,124.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2007,9492.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2007,1349.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2007,4155.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2007,1091.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2007,874.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2007,1370.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2007,653.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2007,3238.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2007,6.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2007,652.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2007,123.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2007,1214.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2007,382.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2007,520.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2007,341.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2007,2974.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2007,353.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2007,660.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2007,696.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2007,1265.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2007,4840.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2007,684.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2007,578.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2007,1017.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2007,370.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2007,844.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2007,1347.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2007,,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2007,,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2007,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2007,,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2007,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2007,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2007,739.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2007,2.0,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2007,341.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2007,,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2007,88.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2007,308.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2008,68859.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2008,34.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2008,2513.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2008,,0.0,148.0,148.0,7.338957290899509,
Babak district,2008,280.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2008,453.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2008,167.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2008,537.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2008,40.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2008,316.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2008,720.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2008,77.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2008,3.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2008,3.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2008,71.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2008,1946.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2008,99.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2008,764.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2008,464.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2008,619.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2008,3248.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2008,18.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2008,,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2008,1402.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2008,494.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2008,1011.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2008,323.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2008,1996.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2008,,0.0,0.0,0.0,,
Aghjabadi district,2008,284.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2008,566.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2008,,0.0,0.0,0.0,,
Barda district,2008,398.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2008,110.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2008,164.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2008,1.0,40.0,108.8,68.8,11.635140361339445,
Shusha district,2008,5.0,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2008,468.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2008,30759.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2008,544.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2008,13340.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2008,371.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2008,6125.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2008,10379.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2008,5282.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2008,1630.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2008,1312.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2008,2186.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2008,29.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2008,125.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2008,11064.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2008,1300.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2008,4975.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2008,1164.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2008,981.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2008,1877.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2008,767.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2008,3238.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2008,5.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2008,674.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2008,124.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
Kurdamir district,2008,1329.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2008,386.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2008,560.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2008,160.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2008,2940.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2008,356.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2008,683.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2008,589.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2008,1312.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2008,5022.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2008,730.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2008,615.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2008,1035.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2008,351.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2008,938.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2008,1353.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2008,1.4,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2008,,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2008,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2008,0.4,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2008,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2008,1.0,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2008,739.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2008,2.0,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2008,340.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2008,,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2008,78.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2008,319.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2009,65569.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2009,34.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2009,2720.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2009,40.0,0.0,148.0,148.0,7.338957290899509,
Babak district,2009,262.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2009,453.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2009,196.0,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2009,568.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2009,80.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2009,400.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2009,721.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2009,44.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2009,3.0,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2009,1.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2009,40.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2009,1930.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2009,99.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2009,744.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2009,465.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2009,622.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2009,3189.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2009,22.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2009,,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2009,1344.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2009,456.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2009,1017.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
