Setting,year,tomato_yield,first5_sum,last5_sum,growth,std_dev,cagr
Balakan district,2000,177.0,594.0,765.6,171.60000000000002,35.52995878149161,-0.004380634183945853
Gakh district,2000,99.0,461.0,459.2,-1.8000000000000114,2.740398257315103,-0.0033247854398426036
Gabala district,2000,53.0,271.0,503.29999999999995,232.29999999999995,23.183764543442837,0.027538803897294573
Oghuz district,2000,78.0,426.0,469.9,43.89999999999998,7.0063622743075875,0.006820811732949128
Shaki district,2000,218.0,1282.0,1579.5,297.5,29.54753692621091,0.016883337330774406
Zagatala district,2000,140.0,644.0,670.7,26.700000000000045,6.493127637875228,-0.0017410141329666784
Eastern Zangazur economic region,2000,,0.0,853.5999999999999,853.5999999999999,43.712305373037026,
Jabrayil district,2000,,0.0,874.9000000000001,874.9000000000001,21.65430576890733,
Kalbajar district,2000,,0.0,0.0,0.0,,
Gubadli district,2000,,0.0,25.0,25.0,11.950339160902757,
Lachin district,2000,,0.0,39.5,39.5,27.440896081902604,
Zangilan district,2000,,0.0,624.4999999999999,624.4999999999999,65.12553262738048,
Shirvan-Salyan economic region,2000,,0.0,1951.9,1951.9,70.71770383972911,
Shirvan city,2000,123.0,249.0,282.4,33.39999999999998,43.45580380177049,-0.03991315615636204
Bilasuvar district,2000,92.0,500.0,2868.7,2368.7,193.16239464896304,0.070315914610523
Hajigabul district,2000,214.0,1159.0,710.3,-448.70000000000005,57.04050032683998,0.002490501967909786
Neftchala district,2000,79.0,420.0,489.0,69.0,17.389258303557,0.005195559799163085
Salyan district,2000,58.0,223.0,1041.3,818.3,65.91491097718661,0.05846867002797751
Republic of Azerbaijan,2001,182.0,876.0,1041.1,165.0999999999999,17.403722219727864,0.007795015876115308
Baku city,2001,113.0,554.0,515.5,-38.5,84.00426738211458,-0.003411566427565571
Nakhchivan Autonomous Republic,2001,79.0,441.0,719.1,278.1,21.799889891358678,0.020375981353123906
Nakhchivan city,2001,,0.0,528.1,528.1,17.019198117865702,
Babak district,2001,58.0,348.0,617.8,269.79999999999995,23.25972291634033,0.00897917051198105
Julfa district,2001,144.0,774.0,775.5999999999999,1.599999999999909,62.68322187274539,-0.008079615869752033
Kangarli district,2001,,91.0,753.0,662.0,23.44216848241422,
Ordubad district,2001,49.0,268.0,460.1,192.10000000000002,14.496565685246512,0.038108238179025644
Sadarak district,2001,160.0,728.0,494.29999999999995,-233.70000000000005,20.464684586315794,-0.022721805475765744
Shahbuz district,2001,23.0,447.0,693.8,246.79999999999995,60.32643747123656,0.07510059492203958
Sharur district,2001,110.0,559.0,941.0,382.0,35.31752756951127,0.02178663200781683
Absheron-Khizi economic region,2001,80.0,440.0,568.0,128.0,24.645449649089322,0.03621920543979029
Sumgayit city,2001,33.0,175.0,403.3,228.3,29.229578217169387,0.04555866865803404
Absheron district,2001,98.0,563.0,711.5999999999999,148.5999999999999,36.42835633030313,0.03527573740476542
Khizi district,2001,60.0,307.0,452.4,145.39999999999998,22.092471994789985,0.021001660224805763
Daghlig Shirvan economic region,2001,67.0,409.0,465.7,56.69999999999999,8.344683936495139,-0.0003181398526803658
Aghsu district,2001,48.0,311.0,551.5,240.5,19.618003691522226,0.03368610446934528
Ismayilli district,2001,84.0,435.0,470.5,35.5,4.5890997980564485,0.010561387680565248
