Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barda district,380.0,380.0,370.0,450.0,400.0,420.0,400.0,359.0,552.0,414.0,536.0,387.0,513.0,478.0,502.0,435.0,408.0,347.0,288.0,93.0,226.0,268.0,265.0,129.0
Fuzuli district,63.0,132.0,200.0,210.0,310.0,151.0,114.0,114.0,115.0,270.0,181.0,170.0,130.0,145.0,150.0,160.0,180.0,152.0,186.0,209.0,215.5,214.0,202.0,203.0
Khojaly district,,,,1.0,16.0,26.0,16.0,13.0,12.0,26.0,23.0,22.0,32.0,32.0,23.0,25.0,23.0,19.0,16.0,17.0,17.0,14.0,14.0,15.0
Khojavand district,,,,,6.0,7.0,8.0,8.0,8.0,19.0,13.0,7.0,6.0,5.0,7.0,11.0,13.0,12.0,14.0,14.0,15.1,17.5,8.5,3.4
Shusha district,,,,,,,,,,2.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,,,,,1.9
Tartar district,69.0,149.0,239.0,177.0,159.0,135.0,182.0,195.0,185.0,165.0,146.0,153.0,155.0,143.0,164.0,201.0,194.0,175.0,177.0,203.0,191.5,221.5,224.0,254.0
Gazakh-Tovuz economic region,10488.0,11317.0,10580.0,2620.0,2662.0,2210.0,2436.0,2328.0,2857.0,2462.0,2535.0,2626.0,2331.0,2416.0,2515.0,2675.0,2633.0,2188.0,2218.0,2247.0,2319.2,2319.2,2246.8,2154.7
Aghstafa district,347.0,358.0,501.0,584.0,588.0,238.0,640.0,580.0,610.0,197.0,222.0,189.0,131.0,92.0,79.0,195.0,123.0,111.0,100.0,105.0,111.9,145.0,149.9,159.3
Gadabay district,,,,,,,,,,,,2.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,6.3,5.2,3.9,2.4
Gazakh district,247.0,323.0,389.0,390.0,391.0,382.0,360.0,347.0,340.0,305.0,261.0,251.0,225.0,250.0,245.0,246.0,204.0,182.0,170.0,166.0,227.0,234.0,222.0,210.0
Shamkir district,952.0,1264.0,1323.0,1303.0,1343.0,1298.0,1000.0,953.0,1342.0,1396.0,1491.0,1722.0,1687.0,1775.0,1858.0,1897.0,1922.0,1511.0,1728.0,1748.0,1694.0,1680.0,1648.0,1650.0
Tovuz district,382.0,338.0,340.0,343.0,340.0,292.0,436.0,448.0,565.0,564.0,561.0,462.0,287.0,296.0,331.0,335.0,380.0,380.0,217.0,225.0,280.0,255.0,223.0,133.0
Guba-Khachmaz economic region,4582.0,4783.0,4290.0,4249.0,4093.0,4207.0,4473.0,4735.0,4293.0,3560.0,3964.0,4035.0,3676.0,3724.0,4104.0,4245.0,4012.0,3387.0,3276.0,3371.0,3275.2,3380.8,3493.9,3751.2
Khachmaz district,3580.0,3809.0,3275.0,3182.0,3045.0,3042.0,3210.0,3444.0,2948.0,2252.0,2403.0,2529.0,2168.0,2303.0,2606.0,2810.0,2570.0,2082.0,2056.0,2124.0,2046.8,2022.7,2002.5,1938.5
Guba district,221.0,239.0,278.0,280.0,272.0,274.0,287.0,298.0,307.0,310.0,540.0,550.0,553.0,557.0,559.0,565.0,567.0,568.0,569.0,602.0,622.0,724.0,903.0,1096.0
Gusar district,177.0,203.0,184.0,168.0,187.0,214.0,284.0,264.0,291.0,316.0,318.0,236.0,240.0,231.0,241.0,249.0,260.0,258.0,253.0,278.0,280.0,344.0,325.0,451.0
Siyazan district,24.0,26.0,27.0,31.0,34.0,38.0,40.0,31.0,35.0,31.0,29.0,80.0,61.0,61.0,56.0,60.0,98.0,85.0,41.0,25.0,27.6,22.2,18.4,20.6
Shabran district,580.0,506.0,526.0,588.0,555.0,639.0,652.0,698.0,712.0,651.0,674.0,640.0,654.0,572.0,642.0,561.0,517.0,394.0,357.0,342.0,298.8,267.9,245.0,245.0
Lankaran-Astara economic region,3907.0,4344.0,4660.0,4337.0,5188.0,5411.0,5395.0,5299.0,4539.0,3860.0,4124.0,4631.0,3792.0,3964.0,4098.0,4234.0,3549.0,2913.0,2342.0,2219.0,2362.1,2658.9,2448.5,2191.4
Astara district,321.0,301.0,677.0,731.0,776.0,944.0,945.0,1058.0,994.0,817.0,824.0,838.0,844.0,824.0,824.0,808.0,742.0,550.0,530.0,474.0,450.5,443.5,438.0,451.5
Jalilabad district,308.0,340.0,331.0,332.0,331.0,331.0,328.0,324.0,318.0,173.0,75.0,70.0,48.0,38.0,30.0,22.0,24.0,21.0,31.0,40.0,30.0,30.0,22.0,22.0
Lerik district,66.0,11.0,22.0,21.0,23.0,25.0,37.0,13.0,20.0,9.0,16.0,26.0,20.0,18.0,36.0,38.0,41.0,48.0,29.0,31.0,30.0,39.0,39.5,40.0
Lankaran district,2363.0,2790.0,2711.0,2451.0,3161.0,3194.0,3089.0,2970.0,2268.0,1916.0,2172.0,2728.0,2088.0,2346.0,2470.0,2604.0,2086.0,1710.0,1240.0,1213.0,1292.2,1605.8,1402.6,1121.3
Masalli district,815.0,867.0,896.0,788.0,864.0,883.0,962.0,902.0,904.0,916.0,1011.0,947.0,770.0,717.0,717.0,743.0,639.0,567.0,494.0,444.0,542.0,522.0,524.5,535.5
Yardimli district,34.0,35.0,23.0,14.0,33.0,34.0,34.0,32.0,35.0,29.0,26.0,22.0,22.0,21.0,21.0,19.0,17.0,17.0,18.0,17.0,17.4,18.6,21.9,21.1
Central Aran economic region,2504.0,2758.0,3518.0,3761.0,4100.0,4369.0,4358.0,4129.0,4775.0,4672.0,4410.0,4859.0,4733.0,4821.0,3633.0,3512.0,2938.0,2673.0,2408.0,2405.0,2292.7,2257.5,2188.3,2080.3
Mingachevir city,20.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.3,4.4,3.8,3.3
