Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aghdam district,102.0,149.0,298.0,393.0,460.0,512.0,520.0,560.0,566.0,570.0,393.0,496.0,440.0,500.0,510.0,450.0,452.0,348.0,351.0,373.0,340.0,294.0,264.0,253.0
Aghdara district,,,,,,,,,,,,,,,,,,,,,,,,
Barda district,350.0,550.0,508.0,750.0,680.0,450.0,361.0,374.0,398.0,515.0,488.0,266.0,278.0,272.0,231.0,228.0,180.0,168.0,192.0,145.0,125.0,122.0,96.4,125.0
Fuzuli district,85.0,100.0,220.0,221.0,250.0,100.0,110.0,110.0,110.0,120.0,115.0,134.0,135.0,135.0,136.0,136.0,141.0,145.0,150.0,151.0,152.0,153.0,154.0,155.0
Khojaly district,,,,30.0,61.0,147.0,153.0,158.0,164.0,209.0,198.0,196.0,198.0,196.0,192.0,167.0,149.0,107.0,87.0,84.0,85.0,67.0,69.0,67.0
Khojavand district,,40.0,,,,,1.0,2.0,1.0,14.0,14.0,6.0,8.0,8.0,10.0,15.0,17.0,26.0,27.0,28.0,30.3,30.9,15.9,3.7
Shusha district,,,,21.0,21.0,21.0,30.0,5.0,5.0,3.0,2.0,3.0,10.0,4.0,4.0,4.0,5.0,4.0,24.0,6.0,5.0,2.0,2.0,2.7
Tartar district,272.0,270.0,371.0,382.0,401.0,445.0,474.0,552.0,468.0,450.0,445.0,455.0,489.0,528.0,548.0,571.0,534.0,498.0,487.0,400.0,376.5,413.0,359.0,384.0
Gazakh-Tovuz economic region,37364.0,39334.0,39578.0,30503.0,32422.0,35951.0,31103.0,30776.0,30759.0,27766.0,28618.0,27051.0,27927.0,28443.0,26615.0,26948.0,27986.0,27153.0,26725.0,25216.0,25432.0,24631.4,24291.1,21737.6
Aghstafa district,536.0,606.0,460.0,574.0,580.0,498.0,430.0,438.0,544.0,380.0,465.0,506.0,540.0,584.0,460.0,608.0,660.0,517.0,670.0,670.0,697.5,713.0,715.5,397.0
